ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
COP,Energy,122479009792.0,0.49047002,0.1666,36.457,8006000000.0
ED,Utilities,36382691328.0,0.53347,0.08331,110.23,-1157000000.0
STZ,Consumer Defensive,30433003520.0,0.51665,-0.0442,153.569,1938100000.0
CEG,Utilities,103007633408.0,0.23108,0.23974001,62.682,-5029000000.0
COO,Healthcare,14546493440.0,0.67197996,0.05148,31.194,288100000.0
CPRT,Industrials,44556410880.0,0.4653,0.18441999,1.148,961574000.0
GLW,Technology,47457054720.0,0.3463,0.048660003,73.266,974000000.0
CPAY,Technology,23506728960.0,0.78158,0.30040002,235.922,1765389000.0
CTVA,Basic Materials,49389109248.0,0.44627,0.04659,16.647,1548000000.0
CSGP,Real Estate,39551963136.0,0.79331,0.01303,12.947,-245300000.0
COST,Consumer Defensive,414203084800.0,0.12776,0.3208,30.813,6629000000.0
CTRA,Energy,18173243392.0,0.74423,0.09404001,31.773,1024000000.0
CRWD,Technology,117689917440.0,0.74477,-0.05738,22.498,1067906000.0
CCI,Real Estate,47377940480.0,0.71475,-1.83279,,1721000000.0
CSX,Industrials,66573438976.0,0.46881,0.24819,159.506,2718000000.0
CMI,Industrials,51065782272.0,0.25581,0.26187,67.789,279000000.0
CVS,Healthcare,75445796864.0,0.13542,0.06934,105.321,6326000000.0
DHR,Healthcare,145315594240.0,0.59718,0.06676,35.45,5296000000.0
DRI,Consumer Cyclical,23770775552.0,0.21882,0.46159,338.057,1026600000.0
DDOG,Technology,52068872192.0,0.80151004,0.06476,64.364,775103000.0
DVA,Healthcare,10982093824.0,0.32458,0.54794,742.203,1466595000.0
DAY,Technology,9426583552.0,0.50345004,0.01031,47.498,171500000.0
DECK,Consumer Cyclical,16795112448.0,0.57633,0.43578997,12.647,958352000.0
DE,Industrials,138270720000.0,0.28215,0.23912,275.281,4429000000.0
DELL,Technology,90540498944.0,0.22225,,,1869000000.0
DAL,Industrials,36310437888.0,0.21190001,0.30074,128.326,2885000000.0
DVN,Energy,21889187840.0,0.52443004,0.20963,60.969,-853000000.0
DXCM,Healthcare,35105341440.0,0.59433,0.23716,113.968,630700000.0
FANG,Energy,43977129984.0,0.7546,0.14668,33.594,-5374000000.0
DLR,Real Estate,60925812736.0,0.54552,0.05835,79.44,2261477000.0
DG,Consumer Defensive,23285712896.0,0.29797,0.15695,220.908,1686176000.0
DLTR,Consumer Defensive,24089780224.0,0.35831,0.19404,202.505,1562000000.0
D,Utilities,49461874688.0,0.48708,0.07719,145.196,-7180000000.0
DPZ,Consumer Cyclical,16102642688.0,0.28506002,,,512012000.0
DASH,Consumer Cyclical,104427470848.0,0.50245,0.04336,6.278,1802000000.0
DOV,Industrials,25360189440.0,0.39672002,0.16722,41.245,580846000.0
DOW,Basic Materials,18224379904.0,0.07972,-0.04739,97.386,-151000000.0
DHI,Consumer Cyclical,43585728512.0,0.2358,0.16098,29.937,2024500000.0
DTE,Utilities,28502323200.0,0.32876998,0.13295999,196.504,-824000000.0
DUK,Utilities,91405426688.0,0.51612,0.09478,168.902,48000000.0
DD,Basic Materials,31412535296.0,0.37058,0.00199,32.577,1421000000.0
EMN,Basic Materials,8856936448.0,0.24909,0.16032,86.003,688000000.0
ETN,Industrials,153686999040.0,0.38448003,0.20812,58.004,3519000000.0
EBAY,Consumer Cyclical,36406677504.0,0.71848,0.36479,145.01,1956000000.0
ECL,Basic Materials,76545671168.0,0.43745,0.24774,103.915,1819400000.0
EIX,Utilities,20111613952.0,0.52954,0.15001,210.459,-693000000.0
EW,Healthcare,46042230784.0,0.78873,,6.863,259900000.0
EA,Communication Services,38190833664.0,0.79324996,0.16131,34.732,1858000000.0
